shot_id_number,is_goal,remaining_min,power_of_shot,knockout_match,distance_of_shot,game_season,area_of_shot,shot_basics,range_of_shot,home/away,type_of_shot
1.0,,10.45,1.0,0,38.0,2000-01,Right Side(R),Mid Range,16-24 ft.,0,shot - 30
2.0,0.0,10.37,1.0,0,35.0,2000-01,Left Side(L),Mid Range,8-16 ft.,0,shot - 45
3.0,1.0,7.75,1.0,0,36.0,2000-01,Left Side Center(LC),Mid Range,16-24 ft.,0,shot - 25
4.0,0.0,6.87,1.0,0,42.0,2000-01,Right Side Center(RC),Mid Range,16-24 ft.,0,Shot - 3
5.0,1.0,5.32,2.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,Shot - 1
6.0,0.0,9.53,3.0,0,34.0,2000-01,Left Side(L),Mid Range,8-16 ft.,0,shot - 17
7.0,1.0,8.87,3.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,Shot - 4
8.0,,8.08,3.0,0,22.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,Shot - 3
9.0,1.0,6.2,3.0,0,32.0,2000-01,Left Side(L),Goal Line,8-16 ft.,0,shot - 36
10.0,0.0,3.6,3.0,0,32.0,2000-01,Center(C),Goal Line,8-16 ft.,0,shot - 44
11.0,0.0,1.93,3.0,0,45.0,2000-01,Left Side Center(LC),Penalty Spot,24+ ft.,0,shot - 7
12.0,1.0,11.0,1.0,0,37.0,2000-01,Right Side Center(RC),Mid Range,16-24 ft.,1,Shot - 3
13.0,1.0,7.47,1.0,0,35.0,2000-01,Left Side(L),Goal Line,8-16 ft.,1,shot - 44
14.0,0.0,5.73,1.0,0,29.0,2000-01,Left Side(L),Mid Range,8-16 ft.,1,Shot - 3
15.0,0.0,1.27,1.0,0,25.0,2000-01,Center(C),Goal Line,Less Than 8 ft.,1,shot - 12
16.0,0.0,0.47,1.0,0,40.0,2000-01,Center(C),Mid Range,16-24 ft.,1,Shot - 3
17.0,,0.02,1.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,Shot - 4
18.0,1.0,8.83,2.0,0,45.0,2000-01,Left Side Center(LC),Mid Range,Less Than 8 ft.,1,shot - 6
19.0,0.0,11.48,3.0,0,36.0,2000-01,Left Side Center(LC),Mid Range,16-24 ft.,1,Shot - 3
20.0,,10.77,3.0,0,20.0,2000-01,Center(C),Mid Range,Less Than 8 ft.,1,shot - 4
21.0,0.0,10.13,3.0,0,34.0,2000-01,Center(C),Mid Range,8-16 ft.,1,shot - 20
22.0,,9.07,3.0,0,38.0,2000-01,Right Side Center(RC),Mid Range,16-24 ft.,1,shot - 24
23.0,1.0,7.95,3.0,0,31.0,2000-01,Center(C),Goal Line,8-16 ft.,1,shot - 44
24.0,1.0,5.78,3.0,0,38.0,2000-01,Left Side Center(LC),Mid Range,16-24 ft.,1,Shot - 3
25.0,1.0,5.18,3.0,0,27.0,2000-01,Center(C),Goal Line,Less Than 8 ft.,1,Shot - 3
26.0,0.0,2.6,3.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,Shot - 4
27.0,0.0,2.07,3.0,0,40.0,2000-01,Center(C),Mid Range,16-24 ft.,1,shot - 30
28.0,0.0,0.5,3.0,0,46.0,2000-01,Left Side Center(LC),Penalty Spot,24+ ft.,1,shot - 54
29.0,0.0,8.47,4.0,0,39.0,2000-01,Right Side Center(RC),Mid Range,16-24 ft.,1,Shot - 3
30.0,0.0,6.37,4.0,0,28.0,2000-01,Center(C),Goal Line,8-16 ft.,1,shot - 42
31.0,1.0,1.33,4.0,0,35.0,2000-01,Right Side(R),Mid Range,8-16 ft.,1,shot - 44
32.0,0.0,0.5,4.0,0,33.0,2000-01,Right Side(R),Mid Range,8-16 ft.,1,Shot - 3
33.0,,11.43,1.0,0,37.0,2000-01,Right Side(R),Mid Range,16-24 ft.,0,shot - 34
34.0,,10.97,1.0,0,40.0,2000-01,Right Side Center(RC),Mid Range,16-24 ft.,0,Shot - 3
35.0,,7.55,1.0,0,21.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,shot - 39
36.0,,5.97,1.0,0,21.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,shot - 39
37.0,,4.15,1.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,Shot - 4
38.0,,5.55,2.0,0,36.0,2000-01,Left Side Center(LC),Mid Range,Less Than 8 ft.,0,shot - 1
39.0,1.0,3.5,2.0,0,40.0,2000-01,Right Side Center(RC),Mid Range,16-24 ft.,0,Shot - 3
40.0,1.0,0.07,2.0,0,47.0,2000-01,Center(C),Penalty Spot,24+ ft.,0,Shot - 3
41.0,0.0,11.2,3.0,0,38.0,2000-01,Left Side(L),Mid Range,16-24 ft.,0,Shot - 3
42.0,1.0,10.22,3.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,shot - 39
43.0,1.0,8.98,3.0,0,40.0,2000-01,Right Side Center(RC),Mid Range,16-24 ft.,0,Shot - 3
44.0,0.0,8.48,3.0,0,25.0,2000-01,Center(C),Goal Line,Less Than 8 ft.,0,Shot - 3
45.0,,4.47,3.0,0,22.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,shot - 39
46.0,1.0,3.35,3.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,shot - 39
47.0,0.0,2.92,3.0,0,35.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,Shot - 1
48.0,1.0,2.47,3.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,shot - 12
49.0,1.0,4.92,4.0,0,37.0,2000-01,Right Side Center(RC),Mid Range,16-24 ft.,0,Shot - 3
50.0,,3.32,4.0,0,37.0,2000-01,Left Side(L),Mid Range,Less Than 8 ft.,0,Shot - 3
51.0,0.0,1.13,4.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,shot - 39
52.0,0.0,1.1,4.0,0,21.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,shot - 39
53.0,0.0,10.55,1.0,0,27.0,2000-01,Center(C),Goal Line,Less Than 8 ft.,1,shot - 25
54.0,0.0,10.07,1.0,0,38.0,2000-01,Left Side(L),Mid Range,16-24 ft.,1,Shot - 3
55.0,,4.97,1.0,0,48.0,2000-01,Left Side Center(LC),Penalty Spot,24+ ft.,1,Shot - 3
56.0,0.0,2.55,1.0,0,44.0,2000-01,Left Side Center(LC),Penalty Spot,24+ ft.,1,Shot - 3
57.0,1.0,5.43,2.0,0,42.0,2000-01,Center(C),Mid Range,16-24 ft.,1,shot - 37
58.0,1.0,8.67,2.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,Shot - 4
59.0,1.0,4.08,2.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,Shot - 1
60.0,,3.17,2.0,0,48.0,2000-01,Right Side Center(RC),Penalty Spot,24+ ft.,1,shot - 14
61.0,0.0,2.03,2.0,0,31.0,2000-01,Center(C),Goal Line,8-16 ft.,1,shot - 36
62.0,,0.78,2.0,0,25.0,2000-01,Center(C),Goal Line,Less Than 8 ft.,1,shot - 39
63.0,0.0,5.53,3.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,Shot - 4
64.0,0.0,0.62,3.0,0,25.0,2000-01,Center(C),Goal Line,Less Than 8 ft.,1,Shot - 4
65.0,1.0,0.02,3.0,0,32.0,2000-01,Right Side(R),Mid Range,8-16 ft.,1,shot - 44
66.0,,10.22,4.0,0,29.0,2000-01,Center(C),Goal Line,Less Than 8 ft.,1,Shot - 3
67.0,,9.1,1.0,0,32.0,2000-01,Left Side(L),Mid Range,8-16 ft.,0,Shot - 3
68.0,0.0,8.28,1.0,0,43.0,2000-01,Right Side(R),Right Corner,24+ ft.,0,shot - 21
69.0,1.0,7.88,1.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,shot - 4
